,name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,loan
0,Erling Haaland,Forward,21,150.0,Germany,Bundesliga,Borussia Dortmund,England,Premier League,Manchester City,60.0,False
1,Antony,Forward,22,35.0,Netherlands,Eredivisie,Ajax Amsterdam,England,Premier League,Manchester United,95.0,False
2,Wesley Fofana,Defender,21,40.0,England,Premier League,Leicester City,England,Premier League,Chelsea FC,80.4,False
3,Aurélien Tchouaméni,Midfielder,22,60.0,Monaco,Ligue 1,AS Monaco,Spain,LaLiga,Real Madrid,80.0,False
4,Casemiro,Midfielder,30,40.0,Spain,LaLiga,Real Madrid,England,Premier League,Manchester United,70.65,False
5,Alexander Isak,Forward,22,30.0,Spain,LaLiga,Real Sociedad,England,Premier League,Newcastle United,70.0,False
6,Matthijs de Ligt,Defender,22,70.0,Italy,Serie A,Juventus FC,Germany,Bundesliga,Bayern Munich,67.0,False
7,Raheem Sterling,Forward,27,70.0,England,Premier League,Manchester City,England,Premier League,Chelsea FC,56.2,False
8,Sadio Mané,Forward,30,70.0,England,Premier League,Liverpool FC,Germany,Bundesliga,Bayern Munich,32.0,False
9,Romelu Lukaku,Forward,29,70.0,England,Premier League,Chelsea FC,Italy,Serie A,Inter Milan,7.8,True
10,Marc Cucurella,Defender,24,28.0,England,Premier League,Brighton & Hove Albion,England,Premier League,Chelsea FC,65.3,False
11,Federico Chiesa,Forward,24,65.0,Italy,Serie A,ACF Fiorentina,Italy,Serie A,Juventus FC,42.5,False
12,Jules Koundé,Defender,23,60.0,Spain,LaLiga,Sevilla FC,Spain,LaLiga,FC Barcelona,50.0,False
13,Raphinha,Forward,25,45.0,England,Premier League,Leeds United,Spain,LaLiga,FC Barcelona,58.0,False
14,Richarlison,Forward,25,48.0,England,Premier League,Everton FC,England,Premier League,Tottenham Hotspur,58.0,False
15,Lisandro Martínez,Defender,24,32.0,Netherlands,Eredivisie,Ajax Amsterdam,England,Premier League,Manchester United,57.37,False
16,Darwin Núñez,Forward,23,55.0,Portugal,Liga Portugal,SL Benfica,England,Premier League,Liverpool FC,80.0,False
17,Fabián Ruiz,Midfielder,26,55.0,Italy,Serie A,SSC Napoli,France,Ligue 1,Paris Saint-Germain,23.0,False
18,Gabriel Jesus,Forward,25,50.0,England,Premier League,Manchester City,England,Premier League,Arsenal FC,52.2,False
19,Cristian Romero,Defender,24,48.0,Italy,Serie A,Atalanta BC,England,Premier League,Tottenham Hotspur,50.0,False
20,Kalvin Phillips,Midfielder,26,50.0,England,Premier League,Leeds United,England,Premier League,Manchester City,49.0,False
21,Carlos Soler,Midfielder,25,50.0,Spain,LaLiga,Valencia CF,France,Ligue 1,Paris Saint-Germain,18.0,False
22,Paul Pogba,Midfielder,29,48.0,England,Premier League,Manchester United,Italy,Serie A,Juventus FC,0,False
23,Robert Lewandowski,Forward,33,45.0,Germany,Bundesliga,Bayern Munich,Spain,LaLiga,FC Barcelona,45.0,False
24,Matheus Nunes,Midfielder,23,35.0,Portugal,Liga Portugal,Sporting CP,England,Premier League,Wolverhampton Wanderers,45.0,False
25,Franck Kessié,Midfielder,25,45.0,Italy,Serie A,AC Milan,Spain,LaLiga,FC Barcelona,0,False
26,Enzo Fernández,Midfielder,21,15.0,Argentina,Liga Profesional,CA River Plate,Portugal,Liga Portugal,SL Benfica,44.25,False
27,Lucas Paquetá,Midfielder,25,35.0,France,Ligue 1,Olympique Lyon,England,Premier League,West Ham United,42.95,False
28,Amine Gouiri,Forward,22,42.0,France,Ligue 1,OGC Nice,France,Ligue 1,Stade Rennais FC,28.0,False
29,Vitinha,Midfielder,22,30.0,Portugal,Liga Portugal,FC Porto,France,Ligue 1,Paris Saint-Germain,41.5,False
30,Bremer,Defender,25,35.0,Italy,Serie A,Torino FC,Italy,Serie A,Juventus FC,41.0,False
31,Nuno Mendes,Defender,20,40.0,Portugal,Liga Portugal,Sporting CP,France,Ligue 1,Paris Saint-Germain,38.0,False
32,Gonçalo Guedes,Forward,25,40.0,Spain,LaLiga,Valencia CF,England,Premier League,Wolverhampton Wanderers,32.6,False
33,Diego Carlos,Defender,29,40.0,Spain,LaLiga,Sevilla FC,England,Premier League,Aston Villa,31.0,False
34,Antonio Rüdiger,Defender,29,40.0,England,Premier League,Chelsea FC,Spain,LaLiga,Real Madrid,0,False
35,Kalidou Koulibaly,Defender,31,35.0,Italy,Serie A,SSC Napoli,England,Premier League,Chelsea FC,38.0,False
36,Sven Botman,Defender,22,30.0,France,Ligue 1,LOSC Lille,England,Premier League,Newcastle United,37.0,False
37,Gianluca Scamacca,Forward,23,30.0,Italy,Serie A,US Sassuolo,England,Premier League,West Ham United,36.0,False
38,Fábio Vieira,Midfielder,22,25.0,Portugal,Liga Portugal,FC Porto,England,Premier League,Arsenal FC,35.0,False
39,Oleksandr Zinchenko,Defender,25,25.0,England,Premier League,Manchester City,England,Premier League,Arsenal FC,35.0,False
