,Player,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK
0,Aaron Ramsdale,Goalkeeper,Arsenal FC,23,34,34,3,34,0,0,0,0,0,0,1,0,0,0,0,0,0
1,Albert Sambi Lokonga,Midfielder,Arsenal FC,21,19,12,1,12,0,0,0,0,0,0,5,0,0,0,0,0,0
2,Ben White,Defender,Arsenal FC,23,32,32,2,32,0,0,0,0,0,0,3,0,0,0,0,0,0
3,Bernd Leno,Goalkeeper,Arsenal FC,29,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bukayo Saka,Forward,Arsenal FC,19,38,36,2,33,11,7,18,9,2,2,6,0,0,0,0,0,0
5,Cédric Soares,Defender,Arsenal FC,29,21,16,1,16,1,1,2,1,0,0,3,0,0,0,0,0,0
6,Eddie Nketiah,Forward,Arsenal FC,22,21,8,835,9,5,1,6,5,0,0,3,0,0,0,0,0,0
7,Emile Smith Rowe,Midfielder,Arsenal FC,21,33,21,1,21,10,2,12,10,0,0,1,0,0,0,0,0,0
8,Fabio Vieira,Midfielder,Arsenal FC,21,27,15,1,14,6,11,17,6,0,0,2,0,0,0,1,0,1
9,Gabriel Dos Santos,Defender,Arsenal FC,23,35,35,3,34,5,0,5,5,0,0,8,1,0,0,0,0,0
10,Granit Xhaka,Midfielder,Arsenal FC,28,27,27,2,25,1,2,3,1,0,0,10,1,0,0,0,0,0
11,Kieran Tierney,Defender,Arsenal FC,24,22,22,1,21,1,3,4,1,0,0,0,0,0,0,0,0,0
12,Marquinhos,Midfielder,Arsenal FC,18,1,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Martin Ødegaard,Midfielder,Arsenal FC,22,36,32,2,30,7,4,11,7,0,0,4,0,0,0,0,0,0
14,Martinelli,Forward,Arsenal FC,20,29,21,1,20,6,6,12,5,1,1,3,1,0,0,0,0,0
15,Mohamed Elneny,Midfielder,Arsenal FC,29,14,8,806,9,0,2,2,0,0,0,1,0,0,0,0,0,0
16,Reiss Nelson,Forward,Arsenal FC,21,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Rob Holding,Defender,Arsenal FC,25,15,9,845,9,1,0,1,1,0,0,4,1,0,0,0,0,0
18,Sead Kolašinac,Defender,Arsenal FC,28,2,1,91,1,0,0,0,0,0,0,1,0,0,0,0,0,0
19,Takehiro Tomiyasu,Defender,Arsenal FC,22,21,20,1,18,0,1,1,0,0,0,2,0,0,0,0,0,0
20,Thomas Partey,Midfielder,Arsenal FC,28,24,23,2,22,2,1,3,2,0,0,6,0,0,0,0,0,0
21,Ashley Young,Defender,Aston Villa,36,24,10,1,13,0,2,2,0,0,0,2,0,0,0,0,0,0
22,Axel Tuanzebe,Defender,Aston Villa,23,9,6,508,5,0,0,0,0,0,0,1,0,0,0,0,0,0
23,Boubacar Kamara,Midfielder,Aston Villa,21,34,31,2,30,1,0,1,1,0,0,5,0,0,0,0,0,0
24,Calum Chambers,Defender,Aston Villa,26,11,9,831,9,1,0,1,1,0,0,1,0,0,0,0,0,0
25,Cameron Archer,Forward,Aston Villa,20,3,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Danny Ings,Forward,Aston Villa,29,30,22,1,21,7,6,13,6,1,1,4,0,0,0,0,0,0
27,Diego Carlos,Defender,Aston Villa,28,34,34,2,32,3,0,3,3,0,0,4,1,0,0,0,0,0
28,Douglas Luiz,Midfielder,Aston Villa,23,34,31,2,30,2,3,5,2,0,0,7,0,0,0,0,0,0
29,Emi Buendía,Midfielder,Aston Villa,24,35,22,1,21,4,6,10,4,0,0,1,0,0,0,0,0,0
30,Emiliano Martínez,Goalkeeper,Aston Villa,28,36,36,3,36,0,0,0,0,0,0,4,0,0,0,0,0,0
31,Ezri Konsa,Defender,Aston Villa,23,29,29,2,27,2,0,2,2,0,0,6,2,0,0,0,0,0
32,Jacob Ramsey,Midfielder,Aston Villa,20,34,29,2,27,6,1,7,6,0,0,6,0,0,0,0,0,0
33,Jed Steer,Goalkeeper,Aston Villa,28,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0
34,John McGinn,Midfielder,Aston Villa,26,35,35,3,34,3,4,7,3,0,0,8,0,0,0,0,0,0
35,Kortney Hause,Defender,Aston Villa,26,7,4,397,4,1,0,1,1,0,0,0,0,0,0,0,0,0
36,Leon Bailey,Forward,Aston Villa,23,18,7,761,8,1,2,3,1,0,0,3,0,0,0,0,0,0
37,Lucas Digne,Defender,Aston Villa,28,16,16,1,14,0,4,4,0,0,0,2,0,0,0,0,0,0
38,Ludwig Augustinsson,Defender,Aston Villa,27,19,9,793,8,0,1,1,0,0,0,3,0,0,0,0,0,0
39,Marvelous Nakamba,Midfielder,Aston Villa,27,16,10,904,10,0,0,0,0,0,0,5,0,0,0,0,0,0
40,Matty Cash,Defender,Aston Villa,23,38,38,3,37,4,3,7,4,0,0,8,0,0,0,0,0,0
41,Morgan Sanson,Midfielder,Aston Villa,26,10,3,356,4,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Ollie Watkins,Forward,Aston Villa,25,35,33,2,32,11,2,13,10,1,1,7,0,0,0,0,0,0
43,Philippe Coutinho,Midfielder,Aston Villa,29,19,16,1,14,5,3,8,5,0,0,0,0,0,0,0,0,0
44,Robin Olsen,Goalkeeper,Aston Villa,31,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Tyrone Mings,Defender,Aston Villa,28,36,35,3,35,1,3,4,1,0,0,11,0,0,0,0,0,0
46,Wesley Moraes,Forward,Aston Villa,24,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Adam Smith,Defender,Bournemouth,30,20,20,1,19,0,2,2,0,0,0,5,1,0,0,0,0,0
48,Ben Pearson,Midfielder,Bournemouth,26,23,8,883,9,0,1,1,0,0,0,4,0,0,0,0,0,0
49,Chris Mepham,Defender,Bournemouth,23,22,12,1,12,0,0,0,0,0,0,7,0,0,0,0,0,0
50,Christian Saydee,Forward,Bournemouth,19,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,David Brooks,Forward,Bournemouth,24,7,7,500,5,1,0,1,1,0,0,3,1,0,0,0,0,0
52,Dominic Solanke,Forward,Bournemouth,23,46,46,4,45,29,7,36,25,4,5,6,0,0,0,0,0,0
53,Emiliano Marcondes,Midfielder,Bournemouth,26,17,8,789,8,2,1,3,2,0,0,2,0,0,0,0,0,0
54,Ethan Laird,Defender,Bournemouth,20,6,4,375,4,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Gary Cahill,Defender,Bournemouth,35,22,21,1,21,0,1,1,0,0,0,4,1,0,0,0,0,0
56,Jack Stacey,Defender,Bournemouth,25,25,24,2,23,0,2,2,0,0,0,5,0,0,0,0,0,0
57,Jaidon Anthony,Forward,Bournemouth,21,45,38,3,36,8,6,14,8,0,0,3,0,0,0,0,0,0
58,Jamal Lowe,Forward,Bournemouth,27,34,9,1,12,7,2,9,7,0,0,3,0,0,0,0,0,0
59,James Hill,Defender,Bournemouth,19,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Jefferson Lerma,Midfielder,Bournemouth,26,34,33,2,31,1,3,4,1,0,0,8,2,0,0,0,0,0
61,Joe Rothwell,Midfielder,Bournemouth,26,41,36,3,35,3,10,13,3,0,0,8,0,0,0,0,0,0
62,Jordan Zemura,Defender,Bournemouth,21,33,32,2,32,3,1,4,3,0,0,6,0,0,0,0,0,0
63,Junior Stanislas,Midfielder,Bournemouth,31,7,2,180,2,0,2,2,0,0,0,0,0,0,1,1,0,1
64,Kieffer Moore,Midfielder,Bournemouth,28,4,0,87,1,4,0,4,4,0,0,0,0,4,0,4,4,4
65,Leif Davis,Defender,Bournemouth,21,12,7,574,6,0,1,1,0,0,0,0,0,0,0,0,0,0
66,Lewis Cook,Midfielder,Bournemouth,24,28,25,2,24,1,2,3,1,0,0,5,0,0,0,0,0,0
67,Lloyd Kelly,Defender,Bournemouth,22,41,40,3,40,1,1,2,1,0,0,6,0,0,0,0,0,0
68,Marcos Senesi,Defender,Bournemouth,24,32,31,2,28,2,2,4,2,0,0,4,0,0,0,0,0,0
69,Marcus Tavernier,Midfielder,Bournemouth,22,44,43,3,43,5,5,10,5,0,0,7,0,0,0,0,0,0
70,Mark Travers,Goalkeeper,Bournemouth,22,45,45,4,45,0,0,0,0,0,0,3,0,0,0,0,0,0
71,Morgan Rogers,Midfielder,Bournemouth,19,15,1,231,2,1,0,1,1,0,0,0,0,0,0,0,0,0
72,Nathaniel Phillips,Defender,Bournemouth,24,17,17,1,17,0,0,0,0,0,0,3,0,0,0,0,0,0
73,Ørjan Nyland,Goalkeeper,Bournemouth,30,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Philip Billing,Midfielder,Bournemouth,25,40,37,3,36,10,10,20,10,0,0,13,0,0,0,0,0,0
75,Robbie Brady,Defender,Bournemouth,29,6,2,194,2,0,0,0,0,0,0,0,0,0,0,0,0,0
76,Ryan Christie,Forward,Bournemouth,26,38,36,2,33,3,8,11,3,0,0,6,0,0,0,0,0,0
77,Siriki Dembélé,Forward,Bournemouth,24,13,4,527,5,2,1,3,2,0,0,0,0,0,0,0,0,0
78,Todd Cantwell,Midfielder,Bournemouth,23,11,8,639,7,0,0,0,0,0,0,2,0,0,0,0,0,0
79,Zeno Ibsen Rossi,Defender,Bournemouth,20,4,3,274,3,0,1,1,0,0,0,0,0,0,0,0,0,0
80,Aaron Hickey,Defender,Brentford FC,19,36,34,2,31,5,1,6,5,0,0,7,0,0,0,0,0,0
81,Álvaro Fernández,Goalkeeper,Brentford FC,23,12,12,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Bryan Mbeumo,Forward,Brentford FC,21,35,34,2,32,4,7,11,3,1,1,4,0,0,0,0,0,0
83,Charlie Goode,Defender,Brentford FC,25,6,4,450,5,0,0,0,0,0,0,3,0,0,0,0,0,0
84,Christian Nørgaard,Midfielder,Brentford FC,27,35,35,3,33,3,4,7,3,0,0,8,0,0,0,0,0,0
